,language
649,French
650,English
651,French
652,French
653,French
654,German
655,French
656,French
657,French
658,French
659,English
660,English
661,English
662,English
663,Dutch
664,French
665,French
666,English
667,French
668,French
669,English
670,French
671,French
672,French
673,English
674,French
675,French
676,French
677,French
678,French
679,English
680,French
681,French
682,English
683,English
684,English
685,French
686,French
687,Dutch
688,French
689,French
690,English
691,French
692,French
693,French
694,English
695,French
696,French
697,French
698,English
699,English
700,French
701,French
702,French
703,French
704,English
705,Dutch
706,French
707,English
708,Dutch
709,French
710,French
711,English
712,French
713,French
714,Dutch
715,French
716,English
717,French
718,English
719,French
720,English
721,English
722,French
723,French
724,English
725,French
726,French
727,English
728,French
729,English
730,French
731,English
732,French
733,French
734,French
735,French
736,Dutch
737,English
738,French
739,French
740,English
741,Dutch
742,French
743,English
744,French
745,French
746,French
747,English
748,Dutch
749,French
750,English
751,French
752,English
753,English
754,French
755,Dutch
756,English
757,English
758,French
759,French
760,Dutch
761,English
762,Dutch
763,English
764,French
765,French
766,English
767,English
768,French
769,French
770,English
771,English
772,French
773,Dutch
774,Dutch
775,Dutch
776,English
777,English
778,French
779,Dutch
780,English
781,French
782,French
783,French
784,French
785,French
786,French
787,English
788,French
789,French
790,French
791,French
792,French
793,Dutch
794,French
795,French
796,French
797,English
798,English
799,French
800,Dutch
801,French
802,Dutch
803,English
804,French
805,French
806,French
807,French
808,French
809,English
810,French
811,French
812,Dutch
813,Dutch
814,Dutch
815,English
816,English
817,English
818,French
819,French
820,French
821,English
822,French
823,English
824,English
825,Dutch
826,English
827,English
828,French
829,French
830,French
831,English
832,English
833,English
834,English
835,Dutch
836,French
837,French
838,French
839,French
840,English
841,French
842,French
843,French
844,French
845,French
846,French
847,German
848,English
849,French
850,French
851,French
852,French
853,French
854,French
855,English
856,Dutch
857,French
858,French
859,French
860,French
861,French
862,English
863,French
864,French
865,French
866,English
867,English
868,German
869,French
870,French
871,French
872,French
873,English
874,English
875,English
876,English
877,Dutch
878,French
879,English
880,English
881,English
882,English
883,French
884,French
885,French
886,English
887,English
888,French
889,French
890,French
891,English
892,English
893,English
894,French
895,French
896,French
897,French
898,English
899,English
900,English
901,English
902,French
903,French
904,English
905,French
906,English
907,English
908,French
909,English
910,French
911,English
912,French
913,French
914,French
915,French
916,English
917,English
918,English
919,English
920,English
921,English
922,French
923,French
924,English
925,French
926,English
927,English
928,French
929,English
930,Dutch
931,Dutch
932,French
933,French
934,English
935,Dutch
936,French
937,French
938,English
939,English
940,Dutch
941,English
942,Dutch
943,French
944,French
945,English
946,French
947,English
948,French
949,Dutch
950,French
951,English
952,French
953,French
954,English
955,French
956,French
957,French
958,Dutch
959,English
960,English
961,English
962,French
963,English
964,French
965,English
966,Dutch
967,English
968,French
969,French
970,French
971,French
972,Dutch
973,French
974,French
975,French
976,French
977,English
978,English
979,Dutch
980,English
981,English
982,French
983,English
984,English
985,English
986,French
987,English
988,French
989,English
990,French
991,English
992,French
993,French
994,English
995,French
996,French
997,English
998,French
999,French
1000,French
1001,Dutch
1002,French
1003,English
1004,English
1005,Dutch
1006,English
1007,French
1008,French
1009,French
1010,French
1011,English
1012,English
1013,English
1014,French
1015,French
1016,English
1017,French
1018,Dutch
1019,French
1020,Dutch
1021,English
1022,German
1023,French
1024,French
1025,French
1026,French
1027,French
1028,English
1029,French
1030,French
1031,French
1032,English
1033,English
1034,French
1035,French
1036,French
1037,French
1038,French
1039,English
1040,German
1041,Dutch
1042,French
1043,English
1044,English
1045,French
1046,French
1047,English
1048,French
1049,French
1050,English
1051,French
1052,French
1053,French
1054,French
1055,Dutch
1056,French
1057,English
1058,German
1059,English
1060,English
1061,English
1062,English
1063,English
1064,French
1065,French
1066,French
1067,French
1068,Dutch
1069,French
1070,French
1071,French
1072,French
1073,French
1074,English
1075,English
1076,French
1077,English
1078,French
1079,French
1080,English
1081,Dutch
1082,French
1083,Dutch
1084,English
1085,Dutch
1086,English
1087,French
1088,French
1089,English
1090,English
1091,English
1092,English
1093,English
1094,English
1095,English
1096,English
1097,English
1098,English
1099,French
1100,English
1101,Dutch
1102,English
1103,English
1104,French
1105,English
1106,English
1107,English
1108,English
1109,English
1110,French
1111,English
1112,English
1113,Dutch
1114,English
1115,English
1116,Dutch
1117,English
1118,English
1119,English
1120,French
1121,French
1122,French
1123,French
1124,German
1125,German
1126,French
1127,German
1128,English
1129,French
1130,English
1131,French
1132,Dutch
1133,French
1134,English
1135,English
1136,German
1137,English
1138,Dutch
1139,French
1140,English
1141,French
1142,English
1143,English
1144,English
1145,French
1146,French
1147,French
1148,English
1149,French
1150,French
1151,French
1152,French
1153,French
1154,English
1155,English
1156,French
1157,English
1158,Dutch
1159,English
1160,Dutch
1161,French
1162,English
1163,French
1164,French
1165,English
1166,French
1167,French
1168,English
1169,English
1170,French
1171,English
1172,French
1173,English
1174,French
1175,French
1176,English
1177,French
1178,French
1179,Dutch
1180,English
1181,French
1182,French
1183,Dutch
1184,Dutch
1185,Dutch
1186,French
1187,French
1188,Dutch
1189,French
1190,English
1191,French
1192,French
1193,English
1194,English
1195,French
1196,French
1197,English
1198,English
1199,English
1200,French
1201,English
1202,French
1203,French
1204,French
1205,French
1206,French
1207,French
1208,French
1209,French
1210,French
1211,French
1212,French
1213,French
1214,German
1215,French
1216,French
1217,English
1218,English
1219,English
1220,English
1221,English
1222,Dutch
1223,French
1224,English
1225,English
1226,French
1227,French
1228,French
1229,English
1230,French
1231,French
1232,Dutch
1233,French
1234,Dutch
1235,Dutch
1236,German
1237,French
1238,English
1239,Dutch
1240,English
1241,French
1242,French
1243,French
1244,Dutch
1245,Dutch
1246,French
1247,French
1248,French
1249,French
1250,Dutch
1251,English
1252,French
1253,English
1254,Dutch
1255,English
1256,French
1257,English
1258,English
1259,French
1260,French
1261,French
1262,English
1263,French
1264,English
1265,French
1266,Dutch
1267,Dutch
1268,English
1269,Dutch
1270,Dutch
1271,French
1272,French
1273,French
1274,French
1275,French
1276,French
1277,French
1278,French
1279,French
1280,English
1281,French
1282,French
1283,French
1284,French
1285,French
1286,French
1287,French
1288,French
1289,English
1290,English
1291,Dutch
1292,French
1293,French
1294,French
1295,French
1296,French
1297,English
1298,English
1299,English
1300,French
1301,French
1302,English
1303,English
1304,English
1305,French
1306,French
1307,French
1308,French
1309,French
1310,English
1311,French
1312,French
1313,French
1314,French
1315,French
1316,French
1317,English
1318,French
1319,Dutch
1320,French
1321,Dutch
1322,French
1323,French
1324,English
1325,English
1326,Dutch
1327,French
1328,English
1329,English
1330,English
1331,French
1332,French
1333,French
1334,English
1335,French
1336,Dutch
1337,French
1338,French
1339,French
1340,French
1341,French
1342,French
1343,French
1344,French
1345,French
1346,English
1347,French
1348,English
1349,English
1350,French
1351,English
1352,French
1353,Dutch
1354,French
1355,French
1356,French
1357,French
1358,French
1359,French
1360,French
1361,French
1362,Dutch
1363,English
1364,English
1365,Dutch
1366,French
1367,English
1368,French
1369,English
1370,French
1371,French
1372,French
1373,French
1374,French
1375,French
1376,French
1377,French
1378,French
1379,French
1380,French
1381,English
1382,English
1383,French
1384,French
1385,French
1386,French
1387,French
1388,French
1389,French
1390,French
1391,French
1392,French
1393,French
1394,French
1395,French
1396,French
1397,French
1398,French
1399,French
1400,French
1401,French
1402,French
1403,French
1404,French
1405,French
1406,English
1407,Dutch
1408,English
1409,Dutch
1410,French
1411,French
1412,French
1413,French
1414,French
1415,Dutch
1416,French
1417,Dutch
1418,French
1419,English
1420,French
1421,Dutch
1422,Dutch
1423,French
1424,English
1425,English
1426,English
1427,English
1428,French
1429,French
1430,English
1431,French
1432,English
1433,French
1434,French
1435,French
1436,French
1437,French
1438,French
1439,French
1440,French
1441,French
1442,English
1443,French
1444,English
1445,English
1446,Dutch
1447,English
1448,French
1449,French
1450,French
1451,French
1452,German
1453,French
1454,French
1455,Dutch
1456,English
1457,French
1458,French
1459,French
1460,French
1461,French
1462,French
1463,English
1464,English
1465,English
1466,French
1467,English
1468,French
1469,English
1470,Dutch
1471,Dutch
1472,French
1473,Dutch
1474,French
1475,French
1476,French
1477,Dutch
1478,German
1479,French
1480,English
1481,French
1482,French
1483,French
1484,English
1485,English
1486,French
1487,French
1488,English
1489,English
1490,French
1491,German
1492,German
1493,Dutch
1494,English
1495,English
1496,French
1497,French
1498,French
1499,French
1500,French
1501,French
1502,French
1503,French
1504,French
1505,French
1506,English
1507,French
1508,French
1509,French
1510,French
1511,French
1512,French
1513,French
1514,French
1515,French
1516,French
1517,French
1518,French
1519,Dutch
1520,French
1521,French
1522,French
1523,Dutch
1524,Dutch
1525,English
1526,French
1527,French
1528,French
1529,French
1530,French
1531,French
1532,French
1533,English
1534,Dutch
1535,French
1536,English
1537,French
1538,English
1539,English
1540,French
1541,French
1542,English
1543,English
1544,English
1545,English
1546,Dutch
1547,English
1548,French
1549,English
1550,English
1551,Dutch
1552,English
1553,English
1554,French
1555,English
1556,English
1557,English
1558,English
1559,French
1560,French
1561,French
1562,French
1563,French
1564,French
1565,French
1566,French
1567,French
1568,French
1569,French
1570,French
1571,English
1572,Dutch
1573,French
1574,Dutch
1575,French
1576,French
1577,French
1578,Dutch
1579,English
1580,French
1581,French
1582,French
1583,English
1584,Dutch
1585,French
1586,French
1587,Dutch
1588,Dutch
1589,French
1590,Dutch
1591,Dutch
1592,French
1593,French
1594,Dutch
1595,French
1596,Dutch
1597,English
1598,English
1599,English
1600,English
1601,Dutch
1602,French
1603,English
1604,French
1605,English
1606,English
1607,English
1608,Dutch
1609,Dutch
1610,English
1611,French
1612,French
